docno,ethnic_cd,highschool_ged,mhneeds_lvl,subs_lvl_values,off_cat,off_mdesc,incident_cod,ldesc,fac_cd,lu_cd
125052,B,M,3,1,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,PD,PROPERTY DAMAGE,YP,CU
838062,H,N,5,3,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,UF,USE OF FORCE,DC,5
516939,I,G,1,4,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,SV,SEXUAL ACT,DC,3
324347,A,N,1,2,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,SV,SEXUAL ACT,YP,I4
967490,I,M,3,2,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,PD,PROPERTY DAMAGE,SF,7
842819,B,M,2,5,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,SV,SEXUAL ACT,SF,8
919748,I,M,5,3,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,PD,PROPERTY DAMAGE,YP,L2
994648,O,H,5,3,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,PD,PROPERTY DAMAGE,DC,3
749661,A,M,3,4,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,UF,USE OF FORCE,DC,2
192150,O,M,3,2,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,ES,ESCAPE W/ FORCE,YP,U2
570254,A,N,1,5,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,UF,USE OF FORCE,YP,I7
394362,A,M,1,2,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,SV,SEXUAL ACT,YP,L2
868055,A,M,2,3,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,PD,PROPERTY DAMAGE,DC,4
996281,B,M,5,1,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,PD,PROPERTY DAMAGE,YP,I4
613147,O,G,2,2,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,UF,USE OF FORCE,YP,CU
370400,I,N,3,1,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,UF,USE OF FORCE,SF,4
465267,U,N,3,2,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,UF,USE OF FORCE,YP,I7
300161,H,M,1,5,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,AC,ACT OF SABOTAGE,SF,3
207935,B,M,3,5,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,AC,ACT OF SABOTAGE,DC,2
391862,O,H,5,3,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,ES,ESCAPE W/ FORCE,SF,24
193958,U,H,2,1,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,PD,PROPERTY DAMAGE,YP,I7
921796,I,M,3,2,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,UF,USE OF FORCE,DC,5
270003,B,M,3,1,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,PD,PROPERTY DAMAGE,DC,2
174062,B,M,2,2,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,ES,ESCAPE W/ FORCE,SF,23
669878,U,G,4,3,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,PD,PROPERTY DAMAGE,DC,5
943349,W,G,1,2,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,UF,USE OF FORCE,YP,1A
780611,U,N,5,2,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,PD,PROPERTY DAMAGE,YP,L2
982589,B,M,3,2,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,SV,SEXUAL ACT,DC,5
694657,I,H,5,1,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,SV,SEXUAL ACT,DC,1
258319,A,N,1,4,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,SV,SEXUAL ACT,YP,CU
516432,U,G,1,5,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,AC,ACT OF SABOTAGE,SF,36
391027,W,H,2,4,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,SV,SEXUAL ACT,DC,4
498276,W,M,3,3,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,ES,ESCAPE W/ FORCE,YP,I7
927455,I,G,3,1,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,AC,ACT OF SABOTAGE,SF,2
619856,O,G,1,2,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,PD,PROPERTY DAMAGE,DC,3
444971,A,M,2,4,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,AC,ACT OF SABOTAGE,SF,34
725128,W,N,5,4,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,ES,ESCAPE W/ FORCE,YP,I4
616299,H,H,5,2,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,AC,ACT OF SABOTAGE,DC,1
228166,W,N,5,5,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,PD,PROPERTY DAMAGE,YP,I7
928195,I,M,3,5,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,SV,SEXUAL ACT,YP,U2
158758,U,G,1,4,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,SV,SEXUAL ACT,SF,35
666489,B,N,1,5,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,ES,ESCAPE W/ FORCE,YP,U2
741611,A,G,3,3,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,SV,SEXUAL ACT,YP,CU
541258,M,G,2,2,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,PD,PROPERTY DAMAGE,YP,L2
203775,M,G,4,3,27,UNAUTHORIZED USE OF FINANCIAL DEVICE >500 <15K,PD,PROPERTY DAMAGE,DC,2
